epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,67.031,1.79624,0.90548,0.99264,0.39816,0.00332842,0.00332842,0.00332842
2,132.03,0.3365,0.96111,0.99917,0.13267,0.006332,0.006332,0.006332
3,192.194,0.17162,0.96249,0.99982,0.11295,0.00900558,0.00900558,0.00900558
4,252.565,0.12072,0.98446,0.99982,0.04867,0.008515,0.008515,0.008515
5,312.968,0.08824,0.98786,0.99972,0.03887,0.00802,0.00802,0.00802
6,372.841,0.07513,0.99062,0.99963,0.0348,0.007525,0.007525,0.007525
7,432.418,0.06403,0.9897,0.99972,0.03392,0.00703,0.00703,0.00703
8,492.412,0.05869,0.99108,0.99972,0.02716,0.006535,0.006535,0.006535
9,552.311,0.05078,0.99209,0.99972,0.02202,0.00604,0.00604,0.00604
10,614.029,0.04587,0.99283,0.99982,0.02112,0.005545,0.005545,0.005545
